,query,latitude,longitude,block,street_name,building,postal,service_year
14,ANG MO KIO MRT STATION NS16,1.36993284962262,103.84955809232,2795,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION (NS16),569812,1987
15,BISHAN MRT STATION NS17,1.35083898784737,103.848143964542,200,BISHAN ROAD,BISHAN MRT STATION (NS17),579827,1987
16,BRADDELL MRT STATION NS18,1.3404690010277,103.846799083148,377,LORONG 1 TOA PAYOH,BRADDELL MRT STATION (NS18),319756,1987
17,TOA PAYOH MRT STATION NS19,1.33262928096888,103.847502198048,510,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),319398,1987
18,NOVENA MRT STATION NS20,1.32044079120154,103.843825618748,250,THOMSON ROAD,NOVENA MRT STATION (NS20),307642,1987
19,NEWTON MRT STATION NS21,1.3123189224097,103.837984594021,49,SCOTTS ROAD,NEWTON MRT STATION (NS21),228234,1987
20,ORCHARD MRT STATION NS22,1.30398013681715,103.832245244375,437,ORCHARD ROAD,ORCHARD MRT STATION (NS22),238878,1987
21,SOMERSET MRT STATION NS23,1.30026416739006,103.839085753124,1,SOMERSET ROAD,SOMERSET MRT STATION (NS23),238162,1987
22,DHOBY GHAUT MRT STATION NS24,1.29870132536119,103.846113677951,11,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),238826,1987
23,CITY HALL MRT STATION NS25,1.29293672227779,103.852585580366,150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),179100,1987
24,RAFFLES PLACE MRT STATION NS26,1.28412561043658,103.851461712342,5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),48618,1987
25,MARINA BAY MRT STATION NS27,1.276410298755,103.854595522263,21,PARK STREET,MARINA BAY MRT STATION (NS27),18925,2014
26,MARINA SOUTH PIER MRT STATION NS28,1.27102703612006,103.862447515736,33,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),18948,2014
27,PASIR RIS MRT STATION EW1,1.37304331635804,103.949284527763,10,PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),519634,1989
28,TAMPINES MRT STATION EW2,1.35330167637376,103.945144586749,20,TAMPINES CENTRAL 1,TAMPINES MRT STATION (EW2),529538,1989
29,SIMEI MRT STATION EW3,1.34319707851829,103.953377214378,30,SIMEI STREET 3,SIMEI MRT STATION (EW3),529888,1989
30,TANAH MERAH MRT STATION EW4,1.32718729074675,103.946348600798,920,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),467356,1989
31,BEDOK MRT STATION EW5,1.32397996868158,103.929984495066,315,NEW UPPER CHANGI ROAD,BEDOK MRT STATION (EW5),467347,1989
32,KEMBANGAN MRT STATION EW6,1.3210381335934,103.912947930851,55,SIMS AVENUE EAST,KEMBANGAN MRT STATION (EW6),416551,1989
33,EUNOS MRT STATION EW7,1.31978354916088,103.903225807255,30,EUNOS CRESCENT,EUNOS MRT STATION (EW7),409423,1989
34,PAYA LEBAR MRT STATION EW8,1.31811149224527,103.893060771576,30,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (EW8),409006,1989
35,ALJUNIED MRT STATION EW9,1.3164326118157,103.882906044385,81,LORONG 25 GEYLANG,ALJUNIED MRT STATION (EW9),388310,1989
36,KALLANG MRT STATION EW10,1.31148890998818,103.871386541754,5,SIMS AVENUE,KALLANG MRT STATION (EW10),387405,1989
37,LAVENDER MRT STATION EW11,1.30737781747063,103.862767633888,50,KALLANG ROAD,LAVENDER MRT STATION (EW11),208699,1989
38,BUGIS MRT STATION EW12,1.30046508509717,103.855706730933,220,VICTORIA STREET,BUGIS MRT STATION (EW12),188022,1989
